node1,node2
16.6,CBC
6%,CBC
Mannitol,BiPap
Decadron,BiPap
81-year-old,HLD
less than 15%,EF
Noninsulin,2
Noninsulin,Hgb
8 at one minute and,42 weeks
8 at one minute and,Apgars
five minutes,42 weeks
five minutes,Apgars
yesterday,MI
69 year old,Cr
one and five minutes,Apgars
around 0900,9am
0845,9am
5-day,PMH
the last day,ROS
the last day,CBC
11,DVT
11,hearburn
11,GE
11,Barrett
11,GI
11,gastric varacies
﻿Mitral,Valvular
Macrocytic,CBC
3322,MI
6L NS,UTI
2 years ago-,GI
2 years ago-,AVM
2 years ago-,colonscopy
AVM,GI
AVM,colonscopy
AVM,gastric varacies
fifteen pounds,BMI
one half weeks,BMI
9717,UTI
581,1
23,1
LLQ,ROS
22 week,first
the past 3 weeks,URI
the past 3 weeks,ROS
the past 3 weeks,CBC
the past 3 weeks,the past few weeks
months,URI
months,ROS
months,CBC
69,3
3114,HAART
54YO,DVT
8 months,DVT
Extra Strength Tylenol,Tylenol
3280,CT
2.9 to 3.4,AKI
around 20:00,ROS
14 day,UTI
9,hematochezia
9,Echo
24761,CBC
25-5/7 weeks,at least 25 weeks
25-5/7 weeks,first
Hyperlipidemia,PMH
Half an hour later,3
OMED,patien
2932,patien
70s,patien
4.2,patien
04:30 p.m.,ROS
Ativan,ROS
Nitroglycerin,ROS
the night,CT
BG,PMH
124,100%
BP 118/88,100%
BMS,MI
CP/SOB/HA/N/V/D/Abdominal,ROS
Type II DM,PMH
2835-10,PMH
4 days,PMH
10 days,PMH
approximately 200 cc approximately two,GI
Pt alsmost,ROS
55.4,Hgb
Friday,hemeoccult
Friday,EGD
Sunday,hemeoccult
Sunday,EGD
Sunday,GI
past several days,hemeoccult
past several days,EGD
Mellitus,PMH
over 40 years,PMH
last night,9:30 pm
last night,greater than 48 hours
last night,GI
N/V.,ROS
73 year old,EF
94%,100%
4Lnc,100%
5666,daily
69 year-old,CBC
102,CBC
two to three days,CBC
27809,MI
42,MI
VT,MI
One month,ROS
7352,the last few months
7352,Aspirin
recent months,the last few months
recent months,Aspirin
some night,night
2942,three
less than 5 minutes,ROS
5:44pm,ROS
78,GI
the Medical Intensive Care Unit,GI
Medicine Service,GI
approximately 3 a.m.,night
approximately 55%,prolpase
LUQ,the weekend
MS,CT
35-year-old,2
BP 170/115,ICU
9:30PM,9:30 pm
9:30PM,greater than 48 hours
third,Cr
Gastric varices Old,Cr
S1,Cr
535,GBM
75,Hgb
18 months,Hgb
PAF,Hgb
PAF,MI
2640,100%
70's%,100%
60's%,100%
VQ,MI
LBBV,PMH
Two,two
hypoenhancing subcentimeter,two
55-year-old,MI
2889,MI
1498,MI
99.5,Pulmonary
HR-,Pulmonary
112,Pulmonary
16,Pulmonary
16,GI
16,gastric varacies
SaO2- 99%,Pulmonary
several days,RUE
2L NC,ROS
Pulm HTN Asthma Aortic,ROS
Thrive Frequent Falls BPH Urine/Stool,BMI
29336,MI
one-third,EGD
duodenitis,EGD
79,PMH
66 year old,MI
626,1
ten years,2
Glynase,2
2 months ago,PMH
UO,DOE
age 9,1
57,BMI
ankle edema,EKG
1 wk,ROS
28- year-old,rubella
G1,rubella
Sjogrens,GI
115,decreaesd
angina,decreaesd
40-50%,decreaesd
30%,decreaesd
60-70%,decreaesd
LAD,decreaesd
OM,decreaesd
5 mg IV,VTach
po diltiazem,VTach
the Neonatal Intensive Care Unit,37 weeks
the Neonatal Intensive Care Unit,6
Levo,UTI
Benadryl,ROS
50 mg x 1,ROS
40 mg x 1,ROS
evening,MI
911,MI
Hct 41,WBC
afternoon,yesterday
55%,EF
53.3,CBC
Gran,CBC
67,CBC
5 and 10 minutes,10 minutes
5 and 10 minutes,1
This a.m.,This morning
This a.m.,this morning
92% to 94%,This morning
92% to 94%,this morning
the 40s,This morning
the 40s,this morning
NGT,GI
NG,GI
35 week,Infant
24 year old,Infant
28 weeks,two
36 weeks,two
2PIVs,GI
E. coli,UTI
28-1/7 weeks,CBC
49 year old,only one
49 year old,ROS
56,Pulmonary
2787,TIA
5 at 1 minute and,Apgars
7 at 5 minutes,Apgars
CT abd,CT
L AV,AKI
8656,URI
GIB,hematochezia
24765,foley
84,foley
CAD,foley
PVD,foley
47,MI
RUQ U/S c/,Murphy
LFT,Murphy
Last night,MI
